cod_ibge,estado,nome_municipio,pib_2021,pib_2022,id_uf,populacao_2022,pib_per_capita_2022
5100102,MT,ACORIZAL,109140,143255,51,5014.0,28571.00119664938
5100201,MT,AGUA BOA,2000535,2559709,51,29219.0,87604.26434854034
5100250,MT,ALTA FLORESTA,2111630,2570691,51,58613.0,43858.71734939348
5100300,MT,ALTO ARAGUAIA,1172814,1820876,51,17193.0,105907.98580817775
5100359,MT,ALTO BOA VISTA,264000,321152,51,5715.0,56194.575678040244
5100409,MT,ALTO GARCAS,1197572,1382832,51,13052.0,105947.90070487282
5100508,MT,ALTO PARAGUAI,166610,155562,51,8009.0,19423.39867648895
5100607,MT,ALTO TAQUARI,1295710,1516366,51,10904.0,139065.11371973588
5100805,MT,APIACAS,233790,256494,51,8590.0,29859.604190919676
5101001,MT,ARAGUAIANA,126561,172514,51,3795.0,45458.23451910409
5101209,MT,ARAGUAINHA,28025,31669,51,1010.0,31355.445544554455
5101258,MT,ARAPUTANGA,655066,707293,51,14786.0,47835.31719193832
5101308,MT,ARENAPOLIS,232216,270202,51,10576.0,25548.60060514372
5101407,MT,ARIPUANA,1445988,1397041,51,24626.0,56730.32567205393
5101605,MT,BARAO DE MELGACO,124583,121806,51,7253.0,16793.878395146836
5101704,MT,BARRA DO BUGRES,1568772,1774307,51,29403.0,60344.42063734993
5101803,MT,BARRA DO GARCAS,2578984,3208206,51,69210.0,46354.65973125271
5101852,MT,BOM JESUS DO ARAGUAIA,769106,1178321,51,7280.0,161857.28021978022
5101902,MT,BRASNORTE,2087054,2458070,51,17004.0,144558.3392143025
5102504,MT,CACERES,2264298,2349227,51,89681.0,26195.3702567991
5102603,MT,CAMPINAPOLIS,437258,498545,51,15347.0,32484.850459373167
5102637,MT,CAMPO NOVO DO PARECIS,6910185,7304671,51,45899.0,159146.62628815442
5102678,MT,CAMPO VERDE,4992842,5239952,51,44585.0,117527.24010317371
5102686,MT,CAMPOS DE JULIO,3302451,2919960,51,8822.0,330986.17093629565
5102694,MT,CANABRAVA DO NORTE,267165,299805,51,4485.0,66846.15384615384
5102702,MT,CANARANA,2931363,3111500,51,25858.0,120330.26529507308
5102793,MT,CARLINDA,299341,373988,51,10332.0,36197.057684862564
5102850,MT,CASTANHEIRA,215078,217319,51,7506.0,28952.704503064215
5103007,MT,CHAPADA DOS GUIMARAES,1214478,1386948,51,18990.0,73035.70300157978
5103056,MT,CLAUDIA,1068338,1189669,51,9593.0,124014.28124674242
5103106,MT,COCALINHO,297648,348086,51,6220.0,55962.37942122186
5103205,MT,COLIDER,1269286,1544915,51,31370.0,49248.16703857188
5103254,MT,COLNIZA,849011,781097,51,25766.0,30315.02755569355
5103304,MT,COMODORO,1258117,1123199,51,18238.0,61585.64535585042
5103353,MT,CONFRESA,1536916,1746499,51,35075.0,49793.27156094084
5103361,MT,CONQUISTA D'OESTE,143169,157866,51,3760.0,41985.63829787234
5103379,MT,COTRIGUACU,324391,271309,51,11011.0,24639.81473072382
5103403,MT,CUIABA,29743722,34153881,51,650877.0,52473.63326711499
5103437,MT,CURVELANDIA,123824,136476,51,4903.0,27835.20293697736
5103452,MT,DENISE,529572,503915,51,7014.0,71844.16880524665
5103502,MT,DIAMANTINO,5746756,5401805,51,21941.0,246196.84608723395
5103601,MT,DOM AQUINO,673289,739336,51,7872.0,93919.71544715448
5103700,MT,FELIZ NATAL,1044834,1209071,51,10521.0,114919.77948864177
5103809,MT,FIGUEIROPOLIS D'OESTE,83603,90431,51,3187.0,28374.96077816128
5103858,MT,GAUCHA DO NORTE,1290850,1447641,51,8642.0,167512.26567924093
5103908,MT,GENERAL CARNEIRO,481705,595399,51,6037.0,98624.9792943515
5103957,MT,GLORIA D'OESTE,89215,89134,51,2905.0,30682.960413080895
5104104,MT,GUARANTA DO NORTE,1099092,1082920,51,31024.0,34905.87931923672
5104203,MT,GUIRATINGA,727107,748424,51,10966.0,68249.49844975378
5104500,MT,INDIAVAI,103576,105729,51,2213.0,47776.32173520108
5104526,MT,IPIRANGA DO NORTE,1924821,2182478,51,7815.0,279267.8182981446
5104542,MT,ITANHANGA,721420,816015,51,7539.0,108239.1563867887
5104559,MT,ITAUBA,418990,596681,51,5020.0,118860.75697211156
5104609,MT,ITIQUIRA,2144680,2231710,51,12236.0,182388.8525661981
5104807,MT,JACIARA,1197725,1401159,51,28569.0,49044.7338023732
5104906,MT,JANGADA,188752,182481,51,7426.0,24573.256127120927
5105002,MT,JAURU,348767,330596,51,8367.0,39511.891956495754
5105101,MT,JUARA,1365473,1555633,51,34906.0,44566.34962470635
